,observer,date,bird.id,lower.cam.id,upper.cam.id,tree.sp,n.fruits.init,n.fruits.final,fruit.location,n.trees.collected,time.fruit.added,time.first.consumed,time.last.consumed,time.fruit.removed,time.paper1.removed,time.paper2.removed,time.paper3.removed,pile.id,n.seeds.pile,time.pile,handling.method,notes,bird.sp,mid,gpt
2,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,3,1,1899-12-31 07:29:00,passed,NA,mafd,4,6.933333333
3,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,w/x,2,1899-12-31 07:32:00,passed,NA,mafd,4,9.933333333
3.1,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,w/x,2,1899-12-31 07:32:00,passed,NA,mafd,4,9.933333333
4,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,x,2,1899-12-31 07:35:00,passed,NA,mafd,4,12.93333333
4.1,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,x,2,1899-12-31 07:35:00,passed,NA,mafd,4,12.93333333
5,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,n,2,1899-12-31 07:37:00,passed,NA,mafd,4,14.93333333
5.1,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,n,2,1899-12-31 07:37:00,passed,NA,mafd,4,14.93333333
6,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,k,2,1899-12-31 07:38:00,passed,NA,mafd,4,15.93333333
6.1,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,k,2,1899-12-31 07:38:00,passed,NA,mafd,4,15.93333333
7,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,3,2,1899-12-31 07:41:00,passed,NA,mafd,4,18.93333333
7.1,jb,20151217,mafd3,ebl1,visual.obs,psychotria,12,1,marpi,1,1899-12-31 07:06:00,1899-12-31 07:22:00,1899-12-31 07:30:00,1899-12-31 07:37:00,NA,NA,NA,3,2,1899-12-31 07:41:00,passed,NA,mafd,4,18.93333333
8,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,f,2,1899-12-31 07:32:00,passed,NA,mist,6,7.9
8.2,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,f,2,1899-12-31 07:32:00,passed,NA,mist,6,7.9
9,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,f,1,1899-12-31 07:34:00,passed,NA,mist,6,9.9
10,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,j,2,1899-12-31 07:37:00,passed,NA,mist,6,12.9
10.1,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,j,2,1899-12-31 07:37:00,passed,NA,mist,6,12.9
11,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,t,1,1899-12-31 07:38:00,passed,NA,mist,6,13.9
12,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,f,1,1899-12-31 07:39:00,passed,NA,mist,6,14.9
13,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,n,2,1899-12-31 07:40:00,passed,NA,mist,6,15.9
13.1,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,n,2,1899-12-31 07:40:00,passed,NA,mist,6,15.9
14,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,c,1,1899-12-31 07:43:00,passed,NA,mist,6,18.9
8.1,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,f,2,1899-12-31 08:00:00,passed,NA,mist,6,35.9
8.1.1,jb,20151222,mist3,ebl1,ebl2,psychotria,10,4,suicide.cliffs,4,1899-12-31 07:21:00,1899-12-31 07:24:00,1899-12-31 07:36:00,1899-12-31 07:39:00,NA,NA,NA,f,2,1899-12-31 08:00:00,passed,NA,mist,6,35.9
16,jb,20151228,mist3,ebl2,ebl1,coccinia,1(in 6 pieces) ,0,laolao,1,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:57:00,NA,NA,NA,g,1,1899-12-31 08:12:00,passed,NA,mist,0,30
17,jb,20151228,mist3,ebl2,ebl1,coccinia,1(in 6 pieces) ,0,laolao,1,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:57:00,NA,NA,NA,j,1,1899-12-31 08:14:00,passed,NA,mist,0,32
18,jb,20151228,mist3,ebl2,ebl1,coccinia,1(in 6 pieces) ,0,laolao,1,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:57:00,NA,NA,NA,q,1,1899-12-31 08:16:00,passed,NA,mist,0,34
19,jb,20151228,mist3,ebl2,ebl1,coccinia,1(in 6 pieces) ,0,laolao,1,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:57:00,NA,NA,NA,j/k,2,1899-12-31 08:17:00,passed,NA,mist,0,35
19.1,jb,20151228,mist3,ebl2,ebl1,coccinia,1(in 6 pieces) ,0,laolao,1,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:57:00,NA,NA,NA,j/k,2,1899-12-31 08:17:00,passed,NA,mist,0,35
20,jb,20151228,mist3,ebl2,ebl1,coccinia,1(in 6 pieces) ,0,laolao,1,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:42:00,1899-12-31 07:57:00,NA,NA,NA,p/m,1,1899-12-31 08:22:00,passed,NA,mist,0,40
21,jb,20151230,mafd1,ebl2,ebl1,psychotria,6,5,marpi,7,1899-12-31 07:26:00,1899-12-31 07:39:00,1899-12-31 07:39:00,1899-12-31 07:54:00,NA,NA,NA,m/j,2,1899-12-31 08:01:00,passed,22.min,mafd,0,22
21.1,jb,20151230,mafd1,ebl2,ebl1,psychotria,6,5,marpi,7,1899-12-31 07:26:00,1899-12-31 07:39:00,1899-12-31 07:39:00,1899-12-31 07:54:00,NA,NA,NA,m/j,2,1899-12-31 08:01:00,passed,22.min,mafd,0,22
