Estimated X,Estimated Y,True X,True Y,Date,Beacon Test,Diff X,Diff Y,Diff Z,Training,Num obs,obs1x,obs1y,obs2x,obs2y,obs3x,obs3y,obs4x,obs4y
372212,1688478,372239,1688473,3/2/16,1,-27,5,27.45906044,Y,3,372388,1688391,372128,1688475,372274,1688631,,
372178,1688475,372239,1688473,3/2/16,2,-61,2,61.03277808,Y,4,372387,1688399,372122,1688475,372476,1688513,372283,1688624
372205,1688428,372239,1688473,3/2/16,5,-34,-45,56.40035461,Y,4,372387,1688395,372500,1688482,372486,1688507,372310,1688622
372256,1688488,372239,1688473,3/2/16,3,17,15,22.6715681,Y,3,372489,1688496,372310,1688619,372387,1688394,,
372184,1688460,372194,1688450,3/2/16,7,-10,10,14.14213562,Y,3,372128,1688482,372486,1688507,372310,1688622,,
372193,1688445,372194,1688450,3/2/16,8,-1,-5,5.099019514,Y,4,372143,1688381,372388,1688391,372128,1688475,372500,1688489
372207,1688454,372194,1688450,3/2/16,9,13,4,13.60147051,Y,4,372146,1688386,372387,1688399,372122,1688475,372486,1688507
372268,1688459,372261,1688450,4/5/16,1,7,9,11.40175425,N,4,372385,1688560,372230,1688467,372334,1688583,372238,1688591
372266,1688466,372261,1688450,4/5/16,1,5,16,16.76305461,N,4,372389,1688562,372252,1688473,372334,1688583,372219,1688586
372178,1688275,372204,1688261,4/18/16,1,-26,14,29.52964612,N,4,372222,1688283,372161,1688325,372135,1688277,372198,1688262
372202,1688261,372204,1688261,4/18/16,1,-2,0,2,N,4,372213,1688269,372161,1688325,372135,1688277,372198,1688259
372185,1688607,372193,1688613,5/11/16,1,-8,-6,10,N,4,372012,1688531,372239,1688648,372072,1688511,372052,1688624
372182,1688551,372184,1688563,5/11/16,1,-2,-12,12.16552506,N,4,372012,1688531,372250,1688650,372072,1688511,372052,1688624
372159,1688547,372184,1688563,5/11/16,1,-25,-16,29.68164416,N,4,372012,1688531,372250,1688650,372072,1688511,372052,1688624
371856,1687400,371768,1687405,5/11/16,1,88,-5,88.141931,N,3,372037,1687422,371052,1687351,372154,1687565,,
370977.1818,1686443.436,370953,1686438,7/7/15,1,24.1818,5.436,24.78526875,N,4,370932,1686376,370870,1686478,371025,1686467,370990,1686426
370951.9546,1686453.804,370953,1686438,7/7/15,2,-1.0454,15.804,15.83853772,N,4,370932,1686376,370870,1686478,371025,1686467,370990,1686426
370964.6337,1686448.496,370953,1686438,7/7/15,3,11.6337,10.496,15.66872655,N,4,370932,1686376,370870,1686478,371025,1686467,370990,1686426
371270.1685,1686652.869,371225,1686562,7/7/15,4,45.1685,90.869,101.4759506,N,4,371200,1686536,370964,1686556,371253,1686622,371378,1686554
371253.0478,1686597.025,371225,1686562,7/7/15,5,28.0478,35.025,44.87125706,N,4,371200,1686536,370964,1686556,371253,1686622,371378,1686554
371267.5931,1686625.699,371225,1686562,7/7/15,6,42.5931,63.699,76.6272456,N,4,371200,1686536,370964,1686556,371253,1686622,371378,1686554
371584.8839,1686733.953,371515,1686752,7/7/15,7,69.8839,-18.047,72.17654528,N,4,371634,1686800,371476,1686744,371348,1686792,371624,1686725
371489.3213,1686723.073,371515,1686752,7/7/15,8,-25.6787,-28.927,38.68031751,N,4,371634,1686800,371476,1686744,371348,1686792,371624,1686725
371514.9168,1686731.247,371515,1686752,7/7/15,9,-0.0832,-20.753,20.75316678,N,4,371634,1686800,371476,1686744,371348,1686792,371624,1686725
372206.4412,1688341.669,372203,1688361,7/14/16,,3.4412,-19.3308,19.63470616,Y,4,372234,1688405,372154,1688374,372184,1688314,372183,1688397
372202.063,1688332.102,372203,1688361,7/14/16,,-0.937,-28.8982,28.91338673,Y,4,372259,1688396,372154,1688374,372184,1688314,372183,1688397
372202.3587,1688333.281,372203,1688361,7/14/16,,-0.6413,-27.7195,27.72691735,Y,4,372259,1688396,372154,1688374,372184,1688314,372183,1688397
372202.0148,1688329.116,372203,1688361,7/14/16,,-0.9852,-31.8842,31.89941737,Y,4,372259,1688396,372154,1688374,372196,1688326,372206,1688361
372176.7258,1688283.428,372171,1688287,7/18/16,,5.7258,-3.5723,6.748786034,Y,4,372191,1688287,372178,1688279,372165,1688295,,
372177.2661,1688280.914,372171,1688287,7/18/16,,6.2661,-6.0863,8.735391056,Y,3,372191,1688287,372178,1688279,372184,1688314,,
371995.7975,1688478.203,371994,1688473,7/28/16,,1.7975,5.2025,5.504272204,Y,3,371996,1688484,371995,1688416,372061,1688413,,
372039.4695,1688469.501,372049,1688453,7/28/16,,-9.5305,16.5011,19.05562204,Y,4,372013,1688407,372095,1688462,371996,1688485,372043,1688462
372059.9064,1688469.368,372049,1688453,7/28/16,,10.9064,16.3676,19.66844912,Y,4,372013,1688407,372095,1688462,371996,1688485,372048,1688447
372046.6426,1688456.862,372049,1688453,7/28/16,,-2.3574,3.8622,4.524811996,Y,4,372013,1688407,372057,1688462,371996,1688485,372046,1688459
